Year,Month,State,Age Group,COVID-19 Deaths,Total COVID Deaths,Death Proportion
2020,1,Colorado,65-74 years,0.0,0.0,0.0
2020,1,Colorado,75-84 years,0.0,0.0,0.0
2020,1,Colorado,85 years and over,0.0,0.0,0.0
2020,1,Connecticut,0-17 years,0.0,0.0,0.0
2020,1,Connecticut,18-29 years,0.0,0.0,0.0
2020,1,Connecticut,30-39 years,0.0,0.0,0.0
2020,1,Connecticut,40-49 years,0.0,0.0,0.0
2020,1,Connecticut,50-64 years,0.0,0.0,0.0
2020,1,Connecticut,65-74 years,0.0,0.0,0.0
2020,1,Connecticut,75-84 years,0.0,0.0,0.0
2020,1,Connecticut,85 years and over,0.0,0.0,0.0
2020,1,Delaware,0-17 years,0.0,0.0,0.0
2020,1,Delaware,18-29 years,0.0,0.0,0.0
2020,1,Delaware,30-39 years,0.0,0.0,0.0
2020,1,Delaware,40-49 years,0.0,0.0,0.0
2020,1,Delaware,50-64 years,0.0,0.0,0.0
2020,1,Delaware,65-74 years,0.0,0.0,0.0
2020,1,Delaware,75-84 years,0.0,0.0,0.0
2020,1,Delaware,85 years and over,0.0,0.0,0.0
2020,1,District of Columbia,0-17 years,0.0,0.0,0.0
2020,1,District of Columbia,18-29 years,0.0,0.0,0.0
2020,1,District of Columbia,30-39 years,0.0,0.0,0.0
2020,1,District of Columbia,40-49 years,0.0,0.0,0.0
2020,1,District of Columbia,50-64 years,0.0,0.0,0.0
2020,1,District of Columbia,65-74 years,0.0,0.0,0.0
2020,1,District of Columbia,75-84 years,0.0,0.0,0.0
2020,1,District of Columbia,85 years and over,0.0,0.0,0.0
2020,1,Florida,0-17 years,0.0,0.0,0.0
2020,1,Florida,18-29 years,0.0,0.0,0.0
2020,1,Florida,30-39 years,0.0,0.0,0.0
2020,1,Florida,40-49 years,0.0,0.0,0.0
2020,1,Florida,50-64 years,0.0,0.0,0.0
2020,1,Florida,65-74 years,0.0,0.0,0.0
2020,1,Florida,75-84 years,0.0,0.0,0.0
2020,1,Florida,85 years and over,0.0,0.0,0.0
2020,1,Georgia,0-17 years,0.0,0.0,0.0
2020,1,Georgia,18-29 years,0.0,0.0,0.0
2020,1,Georgia,30-39 years,0.0,0.0,0.0
2020,1,Georgia,40-49 years,0.0,0.0,0.0
2020,1,Georgia,50-64 years,0.0,0.0,0.0
2020,1,Georgia,65-74 years,0.0,0.0,0.0
2020,1,Georgia,75-84 years,0.0,0.0,0.0
2020,1,Georgia,85 years and over,0.0,0.0,0.0
2020,1,Idaho,0-17 years,0.0,0.0,0.0
2020,1,Idaho,18-29 years,0.0,0.0,0.0
2020,1,Idaho,30-39 years,0.0,0.0,0.0
2020,1,Idaho,40-49 years,0.0,0.0,0.0
2020,1,Idaho,50-64 years,0.0,0.0,0.0
2020,1,Idaho,65-74 years,0.0,0.0,0.0
2020,1,Idaho,75-84 years,0.0,0.0,0.0
2020,1,Idaho,85 years and over,0.0,0.0,0.0
2020,1,Illinois,0-17 years,0.0,0.0,0.0
2020,1,Illinois,18-29 years,0.0,0.0,0.0
2020,1,Illinois,30-39 years,0.0,0.0,0.0
2020,1,Illinois,40-49 years,0.0,0.0,0.0
2020,1,Illinois,50-64 years,0.0,0.0,0.0
2020,1,Illinois,65-74 years,0.0,0.0,0.0
2020,1,Illinois,75-84 years,0.0,0.0,0.0
2020,1,Illinois,85 years and over,0.0,0.0,0.0
2020,1,Indiana,0-17 years,0.0,0.0,0.0
2020,1,Indiana,18-29 years,0.0,0.0,0.0
2020,1,Indiana,30-39 years,0.0,0.0,0.0
2020,1,Indiana,40-49 years,0.0,0.0,0.0
2020,1,Indiana,50-64 years,0.0,0.0,0.0
2020,1,Indiana,65-74 years,0.0,0.0,0.0
2020,1,Indiana,75-84 years,0.0,0.0,0.0
2020,1,Indiana,85 years and over,0.0,0.0,0.0
2020,1,Iowa,0-17 years,0.0,0.0,0.0
2020,1,Iowa,18-29 years,0.0,0.0,0.0
2020,1,Iowa,30-39 years,0.0,0.0,0.0
2020,1,Iowa,40-49 years,0.0,0.0,0.0
2020,1,Iowa,50-64 years,0.0,0.0,0.0
2020,1,Iowa,65-74 years,0.0,0.0,0.0
2020,1,Iowa,75-84 years,0.0,0.0,0.0
2020,1,Iowa,85 years and over,0.0,0.0,0.0
2020,1,Kansas,0-17 years,0.0,0.0,0.0
2020,1,Kansas,18-29 years,0.0,0.0,0.0
2020,1,Kansas,30-39 years,0.0,0.0,0.0
2020,1,Kansas,40-49 years,0.0,0.0,0.0
2020,1,Kansas,50-64 years,0.0,0.0,0.0
2020,1,Kansas,65-74 years,0.0,0.0,0.0
2020,1,Kansas,75-84 years,0.0,0.0,0.0
2020,1,Kansas,85 years and over,0.0,0.0,0.0
2020,1,Kentucky,0-17 years,0.0,0.0,0.0
2020,1,Kentucky,18-29 years,0.0,0.0,0.0
2020,1,Kentucky,30-39 years,0.0,0.0,0.0
2020,1,Kentucky,40-49 years,0.0,0.0,0.0
2020,1,Kentucky,50-64 years,0.0,0.0,0.0
2020,1,Kentucky,65-74 years,0.0,0.0,0.0
2020,1,Kentucky,75-84 years,0.0,0.0,0.0
2020,1,Kentucky,85 years and over,0.0,0.0,0.0
2020,1,Louisiana,0-17 years,0.0,0.0,0.0
2020,1,Louisiana,18-29 years,0.0,0.0,0.0
2020,1,Louisiana,30-39 years,0.0,0.0,0.0
2020,1,Louisiana,40-49 years,0.0,0.0,0.0
2020,1,Louisiana,50-64 years,0.0,0.0,0.0
2020,1,Louisiana,65-74 years,0.0,0.0,0.0
2020,1,Louisiana,75-84 years,0.0,0.0,0.0
2020,1,Louisiana,85 years and over,0.0,0.0,0.0
2020,1,Maine,0-17 years,0.0,0.0,0.0
2020,1,Maine,18-29 years,0.0,0.0,0.0
2020,1,Maine,30-39 years,0.0,0.0,0.0
2020,1,Maine,40-49 years,0.0,0.0,0.0
2020,1,Maine,50-64 years,0.0,0.0,0.0
2020,1,Maine,65-74 years,0.0,0.0,0.0
2020,1,Maine,75-84 years,0.0,0.0,0.0
2020,1,Maine,85 years and over,0.0,0.0,0.0
2020,1,Maryland,0-17 years,0.0,0.0,0.0
2020,1,Maryland,18-29 years,0.0,0.0,0.0
2020,1,Maryland,30-39 years,0.0,0.0,0.0
2020,1,Maryland,40-49 years,0.0,0.0,0.0
2020,1,Maryland,50-64 years,0.0,0.0,0.0
2020,1,Maryland,65-74 years,0.0,0.0,0.0
2020,1,Maryland,75-84 years,0.0,0.0,0.0
2020,1,Maryland,85 years and over,0.0,0.0,0.0
2020,1,Massachusetts,0-17 years,0.0,0.0,0.0
2020,1,Massachusetts,18-29 years,0.0,0.0,0.0
2020,1,Massachusetts,30-39 years,0.0,0.0,0.0
2020,1,Massachusetts,40-49 years,0.0,0.0,0.0
2020,1,Massachusetts,50-64 years,0.0,0.0,0.0
2020,1,Massachusetts,65-74 years,0.0,0.0,0.0
2020,1,Massachusetts,75-84 years,0.0,0.0,0.0
2020,1,Massachusetts,85 years and over,0.0,0.0,0.0
2020,1,Michigan,0-17 years,0.0,0.0,0.0
2020,1,Michigan,18-29 years,0.0,0.0,0.0
2020,1,Michigan,30-39 years,0.0,0.0,0.0
2020,1,Michigan,40-49 years,0.0,0.0,0.0
2020,1,Michigan,50-64 years,0.0,0.0,0.0
2020,1,Michigan,65-74 years,0.0,0.0,0.0
2020,1,Michigan,75-84 years,0.0,0.0,0.0
2020,1,Michigan,85 years and over,0.0,0.0,0.0
2020,1,Minnesota,0-17 years,0.0,0.0,0.0
2020,1,Minnesota,18-29 years,0.0,0.0,0.0
2020,1,Minnesota,30-39 years,0.0,0.0,0.0
2020,1,Minnesota,40-49 years,0.0,0.0,0.0
2020,1,Minnesota,50-64 years,0.0,0.0,0.0
2020,1,Minnesota,65-74 years,0.0,0.0,0.0
2020,1,Minnesota,75-84 years,0.0,0.0,0.0
2020,1,Minnesota,85 years and over,0.0,0.0,0.0
2020,1,Mississippi,0-17 years,0.0,0.0,0.0
2020,1,Mississippi,18-29 years,0.0,0.0,0.0
2020,1,Mississippi,30-39 years,0.0,0.0,0.0
2020,1,Mississippi,40-49 years,0.0,0.0,0.0
2020,1,Mississippi,50-64 years,0.0,0.0,0.0
2020,1,Mississippi,65-74 years,0.0,0.0,0.0
2020,1,Mississippi,75-84 years,0.0,0.0,0.0
2020,1,Mississippi,85 years and over,0.0,0.0,0.0
2020,1,Missouri,0-17 years,0.0,0.0,0.0
2020,1,Missouri,18-29 years,0.0,0.0,0.0
2020,1,Missouri,30-39 years,0.0,0.0,0.0
2020,1,Missouri,40-49 years,0.0,0.0,0.0
2020,1,Missouri,50-64 years,0.0,0.0,0.0
2020,1,Missouri,65-74 years,0.0,0.0,0.0
2020,1,Missouri,75-84 years,0.0,0.0,0.0
2020,1,Missouri,85 years and over,0.0,0.0,0.0
2020,1,Montana,0-17 years,0.0,0.0,0.0
2020,1,Montana,18-29 years,0.0,0.0,0.0
2020,1,Montana,30-39 years,0.0,0.0,0.0
2020,1,Montana,40-49 years,0.0,0.0,0.0
2020,1,Montana,50-64 years,0.0,0.0,0.0
2020,1,Montana,65-74 years,0.0,0.0,0.0
2020,1,Montana,75-84 years,0.0,0.0,0.0
2020,1,Montana,85 years and over,0.0,0.0,0.0
2020,1,Nebraska,0-17 years,0.0,0.0,0.0
2020,1,Nebraska,18-29 years,0.0,0.0,0.0
2020,1,Nebraska,30-39 years,0.0,0.0,0.0
2020,1,Nebraska,40-49 years,0.0,0.0,0.0
2020,1,Nebraska,50-64 years,0.0,0.0,0.0
2020,1,Nebraska,65-74 years,0.0,0.0,0.0
2020,1,Nebraska,75-84 years,0.0,0.0,0.0
2020,1,Nebraska,85 years and over,0.0,0.0,0.0
2020,1,Nevada,0-17 years,0.0,0.0,0.0
2020,1,Nevada,18-29 years,0.0,0.0,0.0
2020,1,Nevada,30-39 years,0.0,0.0,0.0
2020,1,Nevada,40-49 years,0.0,0.0,0.0
2020,1,Nevada,50-64 years,0.0,0.0,0.0
2020,1,Nevada,65-74 years,0.0,0.0,0.0
2020,1,Nevada,75-84 years,0.0,0.0,0.0
2020,1,Nevada,85 years and over,0.0,0.0,0.0
2020,1,New Hampshire,0-17 years,0.0,0.0,0.0
2020,1,New Hampshire,18-29 years,0.0,0.0,0.0
2020,1,New Hampshire,30-39 years,0.0,0.0,0.0
2020,1,New Hampshire,40-49 years,0.0,0.0,0.0
2020,1,New Hampshire,50-64 years,0.0,0.0,0.0
2020,1,New Hampshire,65-74 years,0.0,0.0,0.0
2020,1,New Hampshire,75-84 years,0.0,0.0,0.0
2020,1,New Hampshire,85 years and over,0.0,0.0,0.0
2020,1,New Jersey,0-17 years,0.0,0.0,0.0
2020,1,New Jersey,18-29 years,0.0,0.0,0.0
2020,1,New Jersey,30-39 years,0.0,0.0,0.0
2020,1,New Jersey,40-49 years,0.0,0.0,0.0
2020,1,New Jersey,50-64 years,0.0,0.0,0.0
2020,1,New Jersey,65-74 years,0.0,0.0,0.0
2020,1,New Jersey,75-84 years,0.0,0.0,0.0
2020,1,New Jersey,85 years and over,0.0,0.0,0.0
2020,1,New Mexico,0-17 years,0.0,0.0,0.0
2020,1,New Mexico,18-29 years,0.0,0.0,0.0
2020,1,New Mexico,30-39 years,0.0,0.0,0.0
2020,1,New Mexico,40-49 years,0.0,0.0,0.0
2020,1,New Mexico,50-64 years,0.0,0.0,0.0
2020,1,New Mexico,65-74 years,0.0,0.0,0.0
2020,1,New Mexico,75-84 years,0.0,0.0,0.0
2020,1,New Mexico,85 years and over,0.0,0.0,0.0
2020,1,New York,0-17 years,0.0,0.0,0.0
2020,1,New York,18-29 years,0.0,0.0,0.0
2020,1,New York,30-39 years,0.0,0.0,0.0
2020,1,New York,40-49 years,0.0,0.0,0.0
2020,1,New York,50-64 years,0.0,0.0,0.0
2020,1,New York,65-74 years,0.0,0.0,0.0
2020,1,New York,75-84 years,0.0,0.0,0.0
2020,1,New York,85 years and over,0.0,0.0,0.0
2020,1,North Carolina,0-17 years,0.0,0.0,0.0
2020,1,North Carolina,18-29 years,0.0,0.0,0.0
2020,1,North Carolina,30-39 years,0.0,0.0,0.0
2020,1,North Carolina,40-49 years,0.0,0.0,0.0
2020,1,North Carolina,50-64 years,0.0,0.0,0.0
2020,1,North Carolina,65-74 years,0.0,0.0,0.0
2020,1,North Carolina,75-84 years,0.0,0.0,0.0
2020,1,North Carolina,85 years and over,0.0,0.0,0.0
2020,1,North Dakota,0-17 years,0.0,0.0,0.0
2020,1,North Dakota,18-29 years,0.0,0.0,0.0
2020,1,North Dakota,30-39 years,0.0,0.0,0.0
2020,1,North Dakota,40-49 years,0.0,0.0,0.0
2020,1,North Dakota,50-64 years,0.0,0.0,0.0
2020,1,North Dakota,65-74 years,0.0,0.0,0.0
2020,1,North Dakota,75-84 years,0.0,0.0,0.0
2020,1,North Dakota,85 years and over,0.0,0.0,0.0
2020,1,Ohio,0-17 years,0.0,0.0,0.0
2020,1,Ohio,18-29 years,0.0,0.0,0.0
2020,1,Ohio,30-39 years,0.0,0.0,0.0
2020,1,Ohio,40-49 years,0.0,0.0,0.0
2020,1,Ohio,50-64 years,0.0,0.0,0.0
2020,1,Ohio,65-74 years,0.0,0.0,0.0
2020,1,Ohio,75-84 years,0.0,0.0,0.0
2020,1,Ohio,85 years and over,0.0,0.0,0.0
2020,1,Oklahoma,0-17 years,0.0,0.0,0.0
2020,1,Oklahoma,18-29 years,0.0,0.0,0.0
2020,1,Oklahoma,30-39 years,0.0,0.0,0.0
2020,1,Oklahoma,40-49 years,0.0,0.0,0.0
2020,1,Oklahoma,50-64 years,0.0,0.0,0.0
2020,1,Oklahoma,65-74 years,0.0,0.0,0.0
2020,1,Oklahoma,75-84 years,0.0,0.0,0.0
2020,1,Oklahoma,85 years and over,0.0,0.0,0.0
2020,1,Oregon,0-17 years,0.0,0.0,0.0
2020,1,Oregon,18-29 years,0.0,0.0,0.0
2020,1,Oregon,30-39 years,0.0,0.0,0.0
2020,1,Oregon,40-49 years,0.0,0.0,0.0
2020,1,Oregon,50-64 years,0.0,0.0,0.0
2020,1,Oregon,65-74 years,0.0,0.0,0.0
2020,1,Oregon,75-84 years,0.0,0.0,0.0
2020,1,Oregon,85 years and over,0.0,0.0,0.0
2020,1,Pennsylvania,0-17 years,0.0,0.0,0.0
2020,1,Pennsylvania,18-29 years,0.0,0.0,0.0
2020,1,Pennsylvania,30-39 years,0.0,0.0,0.0
2020,1,Pennsylvania,40-49 years,0.0,0.0,0.0
2020,1,Pennsylvania,50-64 years,0.0,0.0,0.0
2020,1,Pennsylvania,65-74 years,0.0,0.0,0.0
2020,1,Pennsylvania,75-84 years,0.0,0.0,0.0
2020,1,Pennsylvania,85 years and over,0.0,0.0,0.0
2020,1,Rhode Island,0-17 years,0.0,0.0,0.0
2020,1,Rhode Island,18-29 years,0.0,0.0,0.0
2020,1,Rhode Island,30-39 years,0.0,0.0,0.0
2020,1,Rhode Island,40-49 years,0.0,0.0,0.0
2020,1,Rhode Island,50-64 years,0.0,0.0,0.0
2020,1,Rhode Island,65-74 years,0.0,0.0,0.0
2020,1,Rhode Island,75-84 years,0.0,0.0,0.0
2020,1,Rhode Island,85 years and over,0.0,0.0,0.0
2020,1,South Carolina,0-17 years,0.0,0.0,0.0
2020,1,South Carolina,18-29 years,0.0,0.0,0.0
2020,1,South Carolina,30-39 years,0.0,0.0,0.0
2020,1,South Carolina,40-49 years,0.0,0.0,0.0
2020,1,South Carolina,50-64 years,0.0,0.0,0.0
2020,1,South Carolina,65-74 years,0.0,0.0,0.0
2020,1,South Carolina,75-84 years,0.0,0.0,0.0
2020,1,South Carolina,85 years and over,0.0,0.0,0.0
2020,1,South Dakota,0-17 years,0.0,0.0,0.0
2020,1,South Dakota,18-29 years,0.0,0.0,0.0
2020,1,South Dakota,30-39 years,0.0,0.0,0.0
2020,1,South Dakota,40-49 years,0.0,0.0,0.0
2020,1,South Dakota,50-64 years,0.0,0.0,0.0
2020,1,South Dakota,65-74 years,0.0,0.0,0.0
2020,1,South Dakota,75-84 years,0.0,0.0,0.0
2020,1,South Dakota,85 years and over,0.0,0.0,0.0
2020,1,Tennessee,0-17 years,0.0,0.0,0.0
2020,1,Tennessee,18-29 years,0.0,0.0,0.0
2020,1,Tennessee,30-39 years,0.0,0.0,0.0
2020,1,Tennessee,40-49 years,0.0,0.0,0.0
2020,1,Tennessee,50-64 years,0.0,0.0,0.0
2020,1,Tennessee,65-74 years,0.0,0.0,0.0
2020,1,Tennessee,75-84 years,0.0,0.0,0.0
2020,1,Tennessee,85 years and over,0.0,0.0,0.0
2020,1,Texas,0-17 years,0.0,0.0,0.0
2020,1,Texas,18-29 years,0.0,0.0,0.0
2020,1,Texas,30-39 years,0.0,0.0,0.0
2020,1,Texas,40-49 years,0.0,0.0,0.0
2020,1,Texas,50-64 years,0.0,0.0,0.0
2020,1,Texas,65-74 years,0.0,0.0,0.0
2020,1,Texas,75-84 years,0.0,0.0,0.0
2020,1,Texas,85 years and over,0.0,0.0,0.0
2020,1,Utah,0-17 years,0.0,0.0,0.0
2020,1,Utah,18-29 years,0.0,0.0,0.0
2020,1,Utah,30-39 years,0.0,0.0,0.0
2020,1,Utah,40-49 years,0.0,0.0,0.0
2020,1,Utah,50-64 years,0.0,0.0,0.0
2020,1,Utah,65-74 years,0.0,0.0,0.0
2020,1,Utah,75-84 years,0.0,0.0,0.0
2020,1,Utah,85 years and over,0.0,0.0,0.0
2020,1,Vermont,0-17 years,0.0,0.0,0.0
2020,1,Vermont,18-29 years,0.0,0.0,0.0
2020,1,Vermont,30-39 years,0.0,0.0,0.0
2020,1,Vermont,40-49 years,0.0,0.0,0.0
2020,1,Vermont,50-64 years,0.0,0.0,0.0
2020,1,Vermont,65-74 years,0.0,0.0,0.0
2020,1,Vermont,75-84 years,0.0,0.0,0.0
2020,1,Vermont,85 years and over,0.0,0.0,0.0
2020,1,Virginia,0-17 years,0.0,0.0,0.0
2020,1,Virginia,18-29 years,0.0,0.0,0.0
2020,1,Virginia,30-39 years,0.0,0.0,0.0
2020,1,Virginia,40-49 years,0.0,0.0,0.0
2020,1,Virginia,50-64 years,0.0,0.0,0.0
2020,1,Virginia,65-74 years,0.0,0.0,0.0
2020,1,Virginia,75-84 years,0.0,0.0,0.0
2020,1,Virginia,85 years and over,0.0,0.0,0.0
2020,1,Washington,0-17 years,0.0,0.0,0.0
2020,1,Washington,18-29 years,0.0,0.0,0.0
2020,1,Washington,30-39 years,0.0,0.0,0.0
2020,1,Washington,40-49 years,0.0,0.0,0.0
2020,1,Washington,50-64 years,0.0,0.0,0.0
2020,1,Washington,65-74 years,0.0,0.0,0.0
2020,1,Washington,75-84 years,0.0,0.0,0.0
2020,1,Washington,85 years and over,0.0,0.0,0.0
2020,1,West Virginia,0-17 years,0.0,0.0,0.0
2020,1,West Virginia,18-29 years,0.0,0.0,0.0
2020,1,West Virginia,30-39 years,0.0,0.0,0.0
2020,1,West Virginia,40-49 years,0.0,0.0,0.0
2020,1,West Virginia,50-64 years,0.0,0.0,0.0
2020,1,West Virginia,65-74 years,0.0,0.0,0.0
2020,1,West Virginia,75-84 years,0.0,0.0,0.0
2020,1,West Virginia,85 years and over,0.0,0.0,0.0
2020,1,Wisconsin,0-17 years,0.0,0.0,0.0
2020,1,Wisconsin,18-29 years,0.0,0.0,0.0
2020,1,Wisconsin,30-39 years,0.0,0.0,0.0
2020,1,Wisconsin,40-49 years,0.0,0.0,0.0
2020,1,Wisconsin,50-64 years,0.0,0.0,0.0
2020,1,Wisconsin,65-74 years,0.0,0.0,0.0
2020,1,Wisconsin,75-84 years,0.0,0.0,0.0
2020,1,Wisconsin,85 years and over,0.0,0.0,0.0
2020,1,Wyoming,0-17 years,0.0,0.0,0.0
2020,1,Wyoming,18-29 years,0.0,0.0,0.0
2020,1,Wyoming,30-39 years,0.0,0.0,0.0
2020,1,Wyoming,40-49 years,0.0,0.0,0.0
2020,1,Wyoming,50-64 years,0.0,0.0,0.0
2020,1,Wyoming,65-74 years,0.0,0.0,0.0
2020,1,Wyoming,75-84 years,0.0,0.0,0.0
2020,1,Wyoming,85 years and over,0.0,0.0,0.0
2020,2,Alabama,0-17 years,0.0,0.0,0.0
2020,2,Alabama,18-29 years,0.0,0.0,0.0
2020,2,Alabama,30-39 years,0.0,0.0,0.0
2020,2,Alabama,40-49 years,0.0,0.0,0.0
2020,2,Alabama,50-64 years,0.0,0.0,0.0
2020,2,Alabama,65-74 years,0.0,0.0,0.0
2020,2,Alabama,75-84 years,0.0,0.0,0.0
2020,2,Alabama,85 years and over,0.0,0.0,0.0
2020,2,Arizona,0-17 years,0.0,0.0,0.0
2020,2,Arizona,18-29 years,0.0,0.0,0.0
2020,2,Arizona,30-39 years,0.0,0.0,0.0
2020,2,Arizona,40-49 years,0.0,0.0,0.0
2020,2,Arizona,50-64 years,0.0,0.0,0.0
2020,2,Arizona,65-74 years,0.0,0.0,0.0
2020,2,Arizona,75-84 years,0.0,0.0,0.0
2020,2,Arizona,85 years and over,0.0,0.0,0.0
2020,2,Arkansas,0-17 years,0.0,0.0,0.0
2020,2,Arkansas,18-29 years,0.0,0.0,0.0
2020,2,Arkansas,30-39 years,0.0,0.0,0.0
2020,2,Arkansas,40-49 years,0.0,0.0,0.0
2020,2,Arkansas,50-64 years,0.0,0.0,0.0
2020,2,Arkansas,65-74 years,0.0,0.0,0.0
2020,2,Arkansas,75-84 years,0.0,0.0,0.0
2020,2,Arkansas,85 years and over,0.0,0.0,0.0
2020,2,California,0-17 years,0.0,0.0,0.0
2020,2,California,18-29 years,0.0,0.0,0.0
2020,2,California,30-39 years,0.0,0.0,0.0
2020,2,California,40-49 years,0.0,0.0,0.0
2020,2,California,50-64 years,0.0,0.0,0.0
2020,2,California,65-74 years,0.0,0.0,0.0
2020,2,California,75-84 years,0.0,0.0,0.0
2020,2,California,85 years and over,0.0,0.0,0.0
2020,2,Colorado,0-17 years,0.0,0.0,0.0
2020,2,Colorado,18-29 years,0.0,0.0,0.0
2020,2,Colorado,30-39 years,0.0,0.0,0.0
2020,2,Colorado,40-49 years,0.0,0.0,0.0
2020,2,Colorado,50-64 years,0.0,0.0,0.0
2020,2,Colorado,65-74 years,0.0,0.0,0.0
2020,2,Colorado,75-84 years,0.0,0.0,0.0
2020,2,Colorado,85 years and over,0.0,0.0,0.0
2020,2,Connecticut,0-17 years,0.0,0.0,0.0
2020,2,Connecticut,18-29 years,0.0,0.0,0.0
2020,2,Connecticut,30-39 years,0.0,0.0,0.0
2020,2,Connecticut,40-49 years,0.0,0.0,0.0
2020,2,Connecticut,50-64 years,0.0,0.0,0.0
2020,2,Connecticut,65-74 years,0.0,0.0,0.0
2020,2,Connecticut,75-84 years,0.0,0.0,0.0
2020,2,Connecticut,85 years and over,0.0,0.0,0.0
2020,2,Delaware,0-17 years,0.0,0.0,0.0
2020,2,Delaware,18-29 years,0.0,0.0,0.0
2020,2,Delaware,30-39 years,0.0,0.0,0.0
2020,2,Delaware,40-49 years,0.0,0.0,0.0
2020,2,Delaware,50-64 years,0.0,0.0,0.0
2020,2,Delaware,65-74 years,0.0,0.0,0.0
2020,2,Delaware,75-84 years,0.0,0.0,0.0
2020,2,Delaware,85 years and over,0.0,0.0,0.0
2020,2,District of Columbia,0-17 years,0.0,0.0,0.0
2020,2,District of Columbia,18-29 years,0.0,0.0,0.0
2020,2,District of Columbia,30-39 years,0.0,0.0,0.0
2020,2,District of Columbia,40-49 years,0.0,0.0,0.0
2020,2,District of Columbia,50-64 years,0.0,0.0,0.0
2020,2,District of Columbia,65-74 years,0.0,0.0,0.0
2020,2,District of Columbia,75-84 years,0.0,0.0,0.0
2020,2,District of Columbia,85 years and over,0.0,0.0,0.0
2020,2,Florida,0-17 years,0.0,0.0,0.0
2020,2,Florida,18-29 years,0.0,0.0,0.0
2020,2,Florida,30-39 years,0.0,0.0,0.0
2020,2,Florida,40-49 years,0.0,0.0,0.0
2020,2,Florida,50-64 years,0.0,0.0,0.0
2020,2,Florida,65-74 years,0.0,0.0,0.0
2020,2,Florida,75-84 years,0.0,0.0,0.0
2020,2,Florida,85 years and over,0.0,0.0,0.0
2020,2,Georgia,0-17 years,0.0,0.0,0.0
2020,2,Georgia,18-29 years,0.0,0.0,0.0
2020,2,Georgia,30-39 years,0.0,0.0,0.0
2020,2,Georgia,40-49 years,0.0,0.0,0.0
2020,2,Georgia,50-64 years,0.0,0.0,0.0
2020,2,Georgia,65-74 years,0.0,0.0,0.0
2020,2,Georgia,75-84 years,0.0,0.0,0.0
2020,2,Georgia,85 years and over,0.0,0.0,0.0
2020,2,Idaho,0-17 years,0.0,0.0,0.0
2020,2,Idaho,18-29 years,0.0,0.0,0.0
2020,2,Idaho,30-39 years,0.0,0.0,0.0
2020,2,Idaho,40-49 years,0.0,0.0,0.0
2020,2,Idaho,50-64 years,0.0,0.0,0.0
2020,2,Idaho,65-74 years,0.0,0.0,0.0
2020,2,Idaho,75-84 years,0.0,0.0,0.0
2020,2,Idaho,85 years and over,0.0,0.0,0.0
2020,2,Illinois,0-17 years,0.0,0.0,0.0
2020,2,Illinois,18-29 years,0.0,0.0,0.0
2020,2,Illinois,30-39 years,0.0,0.0,0.0
2020,2,Illinois,40-49 years,0.0,0.0,0.0
2020,2,Illinois,50-64 years,0.0,0.0,0.0
2020,2,Illinois,65-74 years,0.0,0.0,0.0
2020,2,Illinois,75-84 years,0.0,0.0,0.0
2020,2,Illinois,85 years and over,0.0,0.0,0.0
2020,2,Indiana,0-17 years,0.0,0.0,0.0
2020,2,Indiana,18-29 years,0.0,0.0,0.0
2020,2,Indiana,30-39 years,0.0,0.0,0.0
